"Time","ICE","Coolant","Cat","HC'","CO'","NOx'","HC","CO","NOx"
"0","25.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","25.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","25.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","25.59595968345093","25.0","25.467235352315015","0.0013199168908639607","0.011712028673665772","0.027713323893060946","0.0","0.0","0.0"
"4","27.59153170873816","25.008316675766935","27.11303502655312","0.024572787089798605","0.2903554200811632","0.04594200935491369","0.00029331486463643567","0.0024070672070799146","0.005695668530266009"
"5","30.77090009650078","25.04432062115262","30.00338371347499","0.04833263212497629","0.9176607117519955","0.035135783080726755","0.005688753136894696","0.06150977578164808","0.013863781004267044"
"6","34.32539510269339","25.12397648308405","33.36893709735517","0.04673274990829048","1.2582473954724116","0.03165708901694249","0.015165170689801716","0.23608122227231157","0.017981034417693272"
"7","37.25990888537825","25.251680863087017","36.630451006404996","0.017709368501877838","0.5919929321996695","0.047844237394981975","0.02218018829391033","0.44125535926586246","0.020455922493606154"
"8","39.818287519649346","25.41803219581726","40.593778468563755","0.006338966238257704","0.4002159877205614","0.05519541129544693","0.021186672784569777","0.4639714496227787","0.025684836112425263"
"9","42.72213841563553","25.61719842399168","45.62993489026934","0.007840010390993987","0.5554449407394771","0.049307221487592465","0.017887182440944872","0.44215344694264846","0.031230410367072935"
"10","45.947928152785664","25.853338151204298","51.880384178203144","0.009167540291189753","0.7413260463152623","0.042244476981316385","0.015654477540955787","0.4565954771225649","0.03430601203302944"
"11","47.792944764950676","26.130184279065418","54.17325889172156","0.00547631254633819","0.1957433989732699","0.081844012537695","0.01421293592989667","0.5052315286288923","0.03522137601007695"
"12","49.3572973138572","26.428285855049808","55.86018157478185","0.007643596917861404","0.16842829560812392","0.08719241546840299","0.012271464066883675","0.4324431390472997","0.04401817524777438"
"13","52.533862256508144","26.743498703231126","58.750177748148076","0.053323055068566404","1.2168031317962626","0.053025101419445136","0.011243049144878725","0.37037438241851073","0.051938893945673116"
"14","53.80422610280709","27.09733120111389","60.07967824953192","0.012180704451095986","0.1597105256352751","0.09590297574298344","0.020594161572364877","0.5348442036224468","0.05112141415021129"
"15","54.95007060981692","27.463441457743613","61.538592051122976","0.0031885349002511204","0.08846699295504937","0.09700817288873945","0.018724504434305123","0.4482025607640431","0.05920600192881329"
"16","58.02705830380569","27.839965281013065","64.3675059814529","0.054003229239352045","1.1899727256501822","0.0599215177503529","0.0152720667600709","0.3663618135258915","0.06570260323564464"
"17","59.17655649754471","28.252669077945598","65.63107857348427","0.011314111822401877","0.14351416756608873","0.10556720402080486","0.02387899175546671","0.5257891286583428","0.0631916978335566"
"18","60.263700788145115","28.675135172479656","67.08072650270333","0.0031885349002511204","0.08846699295504937","0.10669440004034503","0.021086796214785635","0.43782640828961117","0.07050859528654409"
"19","63.270403650517835","29.106381486698297","69.87814446399733","0.054003229239352045","1.1899727256501822","0.06571588309904129","0.01710940481155574","0.3582602374975517","0.07640999521083994"
"20","64.3648569753093","29.571889712275663","71.13378985142504","0.011314111822401877","0.14351416756608873","0.11510629361362669","0.02530803246217714","0.519011298345565","0.07265896878114657"
"21","67.3384830690652","30.04563479396768","73.93720246150559","0.053323055068566404","1.2168031317962626","0.06914789209914175","0.02219827232000486","0.4324994956384068","0.07975392322000793"
"22","69.39153701694448","30.55244891823463","77.31632479921092","0.006107218446376092","0.32927222221213204","0.10582153986521094","0.029114890708574093","0.5817526779682289","0.07593017759228142"
"23","70.8742346663243","31.079579412592864","79.26660358895549","0.0064348866831352184","0.18462145817304013","0.12517889580518848","0.024002074650307872","0.5183211467992783","0.0803257172243336"
"24","73.76483926148234","31.61916311586384","82.02334187695749","0.053323055068566404","1.2168031317962626","0.076140990000121","0.020098255102047283","0.4400577330607996","0.08765883593247002"
"25","74.8095989592108","32.189559573653014","83.31809682266618","0.012180704451095986","0.1597105256352751","0.13466109831859202","0.027481543983495976","0.586901255836296","0.08343960093994857"
"26","75.7835418948527","32.765986693531374","84.80036521963342","0.0032997915489817882","0.09467335750243093","0.13555225406903199","0.024081357420740423","0.48840076190024456","0.09196517228839786"
"27","78.47982518243225","33.34742380188226","90.44714852370998","0.008782279543614695","0.688964543489154","0.07985750211085296","0.019463231671460725","0.3987012612690353","0.0987525091165734"
"28","81.60269999638007","33.95638173977767","94.00768171322699","0.03709416992053295","1.325881026858533","0.07155674441272877","0.017089686754161608","0.44773649880416005","0.09267578008795395"
"29","82.80007331520943","34.597958204176734","95.62014024447689","0.007643596917861404","0.16842829560812392","0.1488742021739945","0.02153512745779968","0.6135466205193996","0.0863295539982998"
"30","84.65386753359866","35.24651404423906","98.8046077334651","0.005946704372119625","0.3107352104393758","0.13222238801194802","0.01844812067114673","0.5106588723011855","0.0969283381809335"
"31","87.4915774254834","35.91048543550261","101.82330835512192","0.04333761781227351","1.2433869605221335","0.08621684187065978","0.015670028160251818","0.45888599257913837","0.10175612116697526"
"32","90.0525769293912","36.60238925328963","107.36445453710417","0.008782279543614695","0.688964543489154","0.09219493644980918","0.02175473079684624","0.6024870728083813","0.09580543566712257"
"33","93.03808204542935","37.31816805809791","110.82982503893629","0.03709416992053295","1.325881026858533","0.08210860837246749","0.01869851580136648","0.5967298499612964","0.09123995143059307"
"34","95.67245656352912","38.06288740369405","113.40188846692178","0.053323055068566404","1.2168031317962626","0.09995186132171982","0.022562005860622944","0.7172663836941947","0.08604981640526613"
"35","96.51848536680274","38.8315357779386","114.65257749343766","0.012180704451095986","0.1597105256352751","0.17465445879999228","0.029070214384150653","0.788597013414849","0.08553028667704689"
"36","97.2576772665181","39.60078985822628","116.02524533799544","0.0031885349002511204","0.08846699295504937","0.17402131010176494","0.025207294140833815","0.6419257915623513","0.09959198815082837"
"37","99.83807016043579","40.36927040981573","118.53687237722812","0.054003229239352045","1.1899727256501822","0.10605678154747643","0.02025197564400957","0.5143110191493139","0.11018288848586441"
"38","100.6046685447946","41.16055931897148","119.72661572032536","0.011314111822401877","0.14351416756608873","0.18163295244933889","0.027331360085543165","0.623450956581935","0.10498111788497812"
"39","101.27954040928796","41.95112125097597","120.79487778586349","0.01342174300169651","0.1353774341808306","0.18059791404932074","0.023650912602940055","0.5104808007647852","0.11542842182651898"
"40","101.57078536060783","42.739794504203246","121.63473354826425","0.0023823667279677437","0.039700277857116016","0.15891135299841358","0.0212460609350278","0.42142084161921345","0.12324259799958438"
"41","102.67097285960051","43.5217054546963","123.56063779324563","0.004220338647649946","0.15256646168292107","0.1816965075196723","0.017012833247402874","0.3344765590132053","0.12523063836231593"
"42","103.9766034765243","44.307277559387444","125.84758498869894","0.004812609341360383","0.19887677739740692","0.1768774126928924","0.01409246603716506","0.28732677103165666","0.13045152973751864"
"43","104.72665484337648","45.099075471058654","127.25276289831817","0.003281550158032107","0.09364560719147716","0.1810641760516835","0.01194436857072546","0.25905589700680853","0.13321407497397073"
"44","104.86402344944543","45.889928366881634","127.92737729574924","0.0020266726455728063","0.02758102816878299","0.14516628423165612","0.009965712246608568","0.218045024295289","0.1362608659415633"
"45","105.0088206830805","46.67204313164763","128.6015054326046","0.0","0.0","0.0","0.0","0.0","0.0"
"46","105.16086307364719","47.44563193021321","129.27514835910932","0.0","0.0","0.0","0.0","0.0","0.0"
"47","105.31997144128172","48.21090183691325","129.94830712171273","0.0","0.0","0.0","0.0","0.0","0.0"
"48","105.48597080800084","48.96805494981447","130.62098276310763","0.0","0.0","0.0","0.0","0.0","0.0"
"49","105.65869031001614","49.717288502860356","131.293176322249","0.0","0.0","0.0","0.0","0.0","0.0"
"50","105.83796311127492","50.45879497592","131.9648888343729","0.0","0.0","0.0","0.0","0.0","0.0"
