"Time","ICE","Coolant","Cat","HC'","CO'","NOx'","HC","CO","NOx"
"0","25.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","25.893808766567133","25.0","25.391177171040226","0.0026940997652170596","0.02033667573439387","0.05912162161044762","0.0","0.0","0.0"
"2","26.7717461825211","25.008963562770077","25.78217112561589","0.0026940997652170596","0.02033667573439387","0.06123535855801094","0.0005986888367149021","0.004179727401456359","0.012151064662244684"
"3","27.80176487467179","25.02663190521963","26.25741185538152","0.0032196454123948844","0.02903496412522432","0.07204112074463544","0.0010643357097153815","0.007429579378092843","0.022033216530271835"
"4","31.307114544748856","25.054429055160654","27.90316464314583","0.06493593510376944","0.7148055910734284","0.11946659839505616","0.0015432934214219378","0.011743165652763704","0.03193575309587769"
"5","37.28283818474381","25.1169214034187","30.895145246574884","0.15439093626995593","2.613014930473076","0.08634729524811428","0.01563054712861027","0.15590669602911597","0.04935551312929488"
"6","44.801169527804575","25.238056540317984","33.934162924788154","0.21442600221605","5.373450683626178","0.05708422758582474","0.04646618916002041","0.6571085754403252","0.05605764911168182"
"7","54.52429496977493","25.4319206642852","38.30306290149963","0.19817100074461616","10.209759401435333","0.02136115630497346","0.08379059206136032","1.611510091628761","0.05524874585337196"
"8","56.954347051273714","25.718438970977502","40.04694558478934","0.008672290983331504","0.2709241542479396","0.23898607238592295","0.1092084606576394","3.3400289892957775","0.0472732300702099"
"9","58.18630172123022","26.025590990321064","40.8816062927566","0.007314851908667944","0.09214702455228375","0.2128055621730291","0.08686708961890431","2.651547931459805","0.08560339425071116"
"10","59.34420601305817","26.341587871513923","41.66038138281209","0.008522880598455464","0.08890962763346988","0.21368969007541216","0.06918881457218512","2.0805243053483076","0.11005330044680132"
"11","60.48769593255588","26.665616802874013","42.43844313553376","0.008522880598455464","0.08890962763346988","0.21794210347750714","0.05570749591135631","1.6358949741074809","0.12923423928685743"
"12","63.99832219275589","26.997448373331622","44.416380890469895","0.08211861821999117","1.076236644387671","0.242652608756308","0.04522202584182279","1.290164874570794","0.14500485280013795"
"13","66.17918882491","27.359651049593992","46.06072937901541","0.00831118303647873","0.24968370055490113","0.2797471964095057","0.053421268592526876","1.2224203319021418","0.16223025305096173"
"14","67.19734400394117","27.739124627272417","46.84140294289796","0.006773662665093829","0.08191571684877638","0.2406760651333821","0.04339680513562729","1.0011383640446134","0.1831709600773829"
"15","70.45648545012818","28.124589043842093","48.72675147811026","0.07845902790930866","0.9883680573957023","0.27467198845263513","0.0352583290310643","0.7951481410605125","0.19150883349095943"
"16","71.44580524995592","28.53725913998744","49.49840094612432","0.008522880598455464","0.08890962763346988","0.25875204462680795","0.044858484337340826","0.8194524953952057","0.20482692081902507"
"17","72.42555538263082","28.955283890384123","50.269356397099784","0.008522880598455464","0.08890962763346988","0.2623853300420507","0.036783905728699634","0.6552877067207485","0.21198350957375064"
"18","75.74106617990122","29.378513435470552","52.229252825165304","0.08211861821999117","1.076236644387671","0.29054255883403496","0.030503677921978705","0.5276348047076104","0.21827347717913034"
"19","76.74527986643551","29.828936389408057","53.040932600471365","0.009176266922623957","0.09953006994218963","0.28513543487881315","0.04197366465487036","0.6291457935396021","0.22878387417319154"
"20","78.84618119232505","30.284443456181464","54.75497683718089","0.008672290983331504","0.2709241542479396","0.33638313011851095","0.034685354047704495","0.5094432938445381","0.23590936580629068"
"21","79.79203340183335","30.75528434984483","55.57541866886385","0.007314851908667944","0.09214702455228375","0.29460272626291145","0.02890467336673272","0.45107926017663624","0.2517745799359775"
"22","81.75580979010778","31.230439330052945","57.198526584293404","0.00831118303647873","0.24968370055490113","0.34878410675746024","0.024106935264940545","0.36946720699983515","0.2556561465810482"
"23","84.79661167800975","31.719395153426774","59.06131301187918","0.07845902790930866","0.9883680573957023","0.3341803336942492","0.02059676810306014","0.3379217879036218","0.26958870363228177"
"24","87.9241813335791","32.23203197634632","61.00134245564283","0.08211861821999117","1.076236644387671","0.3401703225777879","0.03345504806000425","0.463320389356006","0.2773871646451941"
"25","88.78161475942","32.76883000395304","61.80483496713839","0.009176266922623957","0.09953006994218963","0.33100008945433085","0.04426917476222357","0.578461590664114","0.28460961328720197"
"26","89.63389152612626","33.30841669740238","62.607585562543875","0.009176266922623957","0.09953006994218963","0.33422799031561623","0.0364707507978681","0.46997019846261556","0.28843460212987876"
"27","91.56926414833686","33.85071392979228","64.3028014565403","0.008672290983331504","0.2709241542479396","0.3928753540118118","0.030405309936702735","0.3856069074868504","0.2920436007824552"
"28","93.38331978839483","34.405721549694476","65.90967611516419","0.00831118303647873","0.24968370055490113","0.4002643201430404","0.025575750169286905","0.35463196943855146","0.30661828249100104"
"29","96.26320361011983","34.972163490647915","67.75390010456636","0.07845902790930866","0.9883680573957023","0.3817082730692799","0.021739179695329534","0.32623009672446385","0.3194044243121776"
"30","96.95745626530424","35.55971525412127","68.5087969594988","0.008522880598455464","0.08890962763346988","0.35352743750007637","0.03434359040954711","0.45359779572400305","0.32551149596096285"
"31","99.92425732640419","36.1480219956901","70.42792171451515","0.08211861821999117","1.076236644387671","0.3889548004503995","0.028605654895971187","0.37069013372203313","0.3246358121428098"
"32","100.65936112354393","36.75793010452088","71.2227976900416","0.009176266922623957","0.09953006994218963","0.37617567331349977","0.04049742452353118","0.5057168322799368","0.3309600948821288"
"33","102.46630427151848","37.368740277382074","72.90140825243526","0.008672290983331504","0.2709241542479396","0.4383111648090136","0.03353716727888514","0.4133389479352607","0.33337545353898496"
"34","103.16007278483357","37.99024460176713","73.70496081336393","0.007314851908667944","0.09214702455228375","0.3736423524993603","0.02801163921320655","0.376016743731847","0.34767457194145046"
"35","106.05747270191671","38.61215470827159","75.61277857256249","0.08211861821999117","1.076236644387671","0.40116027733452936","0.023412353145531306","0.3109801804689428","0.34579012117050967"
"36","106.74018332487708","39.25455150914212","76.40299335427898","0.009176266922623957","0.09953006994218963","0.3764608147996696","0.0364581898287446","0.4588957227384207","0.3497164023939062"
"37","108.39458120301009","39.897042736202025","77.98789037389628","0.00831118303647873","0.24968370055490113","0.4371164537203615","0.030395540294051126","0.3768953555435002","0.3478729403665917"
"38","108.95837634864557","40.54845555067766","78.74045202670015","0.006773662665093829","0.08191571684877638","0.36367333810956465","0.025487905347923927","0.34331410560902115","0.35854641627747763"
"39","111.66803510981566","41.19879272790496","80.55799812181618","0.07845902790930866","0.9883680573957023","0.40875423355501284","0.02132918475173946","0.2834604005734601","0.35209970874175256"
"40","114.47481367878777","41.86750676536934","82.45110574477974","0.08211861821999117","1.076236644387671","0.40116027733452936","0.0340247054534215","0.41941895574666377","0.35601193277247584"
"41","115.0854463282194","42.55522909575848","83.23525592684427","0.009176266922623957","0.09953006994218963","0.3764608147996696","0.04471224162377031","0.5426340011586368","0.35745894149357055"
"42","116.66256190559261","43.24194290724449","84.80800693151627","0.00831118303647873","0.24968370055490113","0.4371164537203615","0.036815358356848904","0.44195649890308786","0.35370306168074545"
"43","117.15877264586766","43.93635930382533","85.55482365530202","0.006773662665093829","0.08191571684877638","0.36367333810956465","0.030481097174544423","0.39376266558509043","0.3628583151647885"
"44","119.78744205170545","44.62867271715777","87.3585126988931","0.07845902790930866","0.9883680573957023","0.40875423355501284","0.025212778394666513","0.3226464081382996","0.3552693110591543"
