"84"
"P53","P10","P54","P42","P73"
"P54","P53","P55","P24","P77"
"P55","P54","P56"
"P56","P55","P57","P21","P74"
"P57","P56","P58"
"P58","P57","P29"
"P59","P49","P60"
"P6","P5","P7","P76"
"P60","P59","P26","P50"
"P61","P20","P41","P39"
"P62","P41","P32","P0"
"P63","P17","P64","P83"
"P64","P63","P65","P46","P35"
"P65","P64","P66","P77"
"P66","P65","P45","P75"
"P67","P27","P68"
"P68","P67","P30"
"P69","P50","P52"
"P7","P6","P8","P31"
"P70","P42","P47"
"P71","P72","P11"
"P72","P71","P12","P80"
"P73","P53","P46","P37","P77"
"P74","P56","P75","P77","P78"
"P75","P74","P66","P79"
"P76","P6","P0","P31"
"P77","P54","P65","P73","P74"
"P78","P79","P74"
"P79","P78","P51","P75","P43"
"P8","P7","P9","P16"
"P80","P5","P81","P72"
"P81","P80","P40"
"P82","P33","P83"
"P83","P82","P63"
"P9","P8","P10"
"120"
"P0","P1","25.0"
"P1","P2","25.0"
"P3","P4","35.0"
"P4","P5","35.0"
"P5","P6","30.0"
"P6","P7","30.0"
"P7","P8","30.0"
"P8","P9","30.0"
"P9","P10","30.0"
"P4","P11","35.0"
"P11","P12","35.0"
"P12","P13","35.0"
"P13","P14","30.0"
"P14","P15","30.0"
"P8","P16","25.0"
"P16","P2","25.0"
"P2","P17","25.0"
"P3","P18","25.0"
"P18","P19","25.0"
"P19","P15","25.0"
"P15","P20","35.0"
"P21","P22","25.0"
"P22","P23","25.0"
"P24","P25","35.0"
"P25","P26","45.0"
"P27","P28","30.0"
"P28","P29","30.0"
"P29","P30","30.0"
"P7","P31","25.0"
"P31","P1","30.0"
"P1","P32","30.0"
"P32","P33","25.0"
"P33","P34","25.0"
"P34","P35","25.0"
"P36","P10","25.0"
"P10","P37","25.0"
"P37","P38","25.0"
"P13","P39","25.0"
"P39","P40","25.0"
"P40","P41","25.0"
"P36","P42","25.0"
"P43","P44","25.0"
"P44","P45","25.0"
"P2","P38","25.0"
"P38","P46","25.0"
"P47","P21","35.0"
"P21","P48","35.0"
"P48","P49","40.0"
"P49","P50","35.0"
"P51","P44","25.0"
"P22","P52","25.0"
"P10","P53","30.0"
"P53","P54","30.0"
"P54","P55","30.0"
"P55","P56","30.0"
"P56","P57","30.0"
"P57","P58","30.0"
"P58","P29","30.0"
"P49","P59","40.0"
"P59","P60","35.0"
"P23","P49","25.0"
"P20","P61","45.0"
"P61","P41","45.0"
"P41","P62","35.0"
"P62","P32","35.0"
"P32","P17","35.0"
"P17","P63","35.0"
"P63","P64","35.0"
"P64","P65","40.0"
"P65","P66","40.0"
"P66","P45","45.0"
"P45","P27","45.0"
"P27","P67","45.0"
"P67","P68","45.0"
"P68","P30","45.0"
"P30","P26","45.0"
"P26","P60","35.0"
"P60","P50","35.0"
"P50","P69","35.0"
"P42","P70","35.0"
"P70","P47","35.0"
"P71","P72","25.0"
"P42","P53","25.0"
"P53","P73","25.0"
"P73","P46","25.0"
"P46","P64","25.0"
"P64","P35","35.0"
"P21","P56","25.0"
"P56","P74","25.0"
"P74","P75","25.0"
"P75","P66","25.0"
"P6","P76","25.0"
"P76","P0","25.0"
"P0","P62","25.0"
"P24","P54","25.0"
"P54","P77","25.0"
"P77","P65","25.0"
"P39","P61","25.0"
"P78","P79","25.0"
"P79","P51","25.0"
"P5","P80","25.0"
"P80","P81","25.0"
"P52","P69","30.0"
"P75","P79","25.0"
"P79","P43","25.0"
"P43","P28","25.0"
"P81","P40","25.0"
"P33","P82","25.0"
"P82","P83","25.0"
"P83","P63","25.0"
"P12","P72","25.0"
"P72","P80","25.0"
"P11","P71","25.0"
"P76","P31","25.0"
"P31","P16","25.0"
"P16","P37","25.0"
"P37","P73","25.0"
"P73","P77","25.0"
"P77","P74","25.0"
"P74","P78","25.0"
